"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","WORLDBANKINCOMEGROUP (CODE)","WORLDBANKINCOMEGROUP (DISPLAY)","WORLDBANKINCOMEGROUP (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","AGEGROUP (CODE)","AGEGROUP (DISPLAY)","AGEGROUP (URL)","SEX (CODE)","SEX (DISPLAY)","SEX (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EMR","Eastern Mediterranean","","WB_LI","Low-income","","AFG","Afghanistan","","YEARS15-29","15-29  years","","BTSX","Both sexes","","5.4","5.41000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EMR","Eastern Mediterranean","","WB_LI","Low-income","","AFG","Afghanistan","","YEARS15-29","15-29  years","","FMLE","Female","","3.9","3.93000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EMR","Eastern Mediterranean","","WB_LI","Low-income","","AFG","Afghanistan","","YEARS15-29","15-29  years","","MLE","Male","","6.8","6.80000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","YEARS15-29","15-29  years","","BTSX","Both sexes","","4.2","4.23000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","YEARS15-29","15-29  years","","FMLE","Female","","1.4","1.39000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","YEARS15-29","15-29  years","","MLE","Male","","7.1","7.14000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EUR","Europe","","WB_UMI","Upper-middle-income","","ALB","Albania","","YEARS15-29","15-29  years","","BTSX","Both sexes","","4.3","4.25000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EUR","Europe","","WB_UMI","Upper-middle-income","","ALB","Albania","","YEARS15-29","15-29  years","","FMLE","Female","","3.9","3.93000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EUR","Europe","","WB_UMI","Upper-middle-income","","ALB","Albania","","YEARS15-29","15-29  years","","MLE","Male","","4.6","4.55000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EMR","Eastern Mediterranean","","WB_HI","High-income","","ARE","United Arab Emirates","","YEARS15-29","15-29  years","","BTSX","Both sexes","","7.2","7.21000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EMR","Eastern Mediterranean","","WB_HI","High-income","","ARE","United Arab Emirates","","YEARS15-29","15-29  years","","FMLE","Female","","2.5","2.53000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EMR","Eastern Mediterranean","","WB_HI","High-income","","ARE","United Arab Emirates","","YEARS15-29","15-29  years","","MLE","Male","","9.3","9.26000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","AMR","Americas","","WB_UMI","Upper-middle-income","","ARG","Argentina","","YEARS15-29","15-29  years","","BTSX","Both sexes","","11.9","11.89000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","AMR","Americas","","WB_UMI","Upper-middle-income","","ARG","Argentina","","YEARS15-29","15-29  years","","FMLE","Female","","5.6","5.64000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","AMR","Americas","","WB_UMI","Upper-middle-income","","ARG","Argentina","","YEARS15-29","15-29  years","","MLE","Male","","18","17.98000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EUR","Europe","","WB_UMI","Upper-middle-income","","ARM","Armenia","","YEARS15-29","15-29  years","","BTSX","Both sexes","","1.3","1.26000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EUR","Europe","","WB_UMI","Upper-middle-income","","ARM","Armenia","","YEARS15-29","15-29  years","","FMLE","Female","","1.2","1.24000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EUR","Europe","","WB_UMI","Upper-middle-income","","ARM","Armenia","","YEARS15-29","15-29  years","","MLE","Male","","1.3","1.29000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","YEARS15-29","15-29  years","","BTSX","Both sexes","","0","0.00000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","YEARS15-29","15-29  years","","FMLE","Female","","0","0.00000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","AMR","Americas","","WB_HI","High-income","","ATG","Antigua and Barbuda","","YEARS15-29","15-29  years","","MLE","Male","","0","0.00000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","WPR","Western Pacific","","WB_HI","High-income","","AUS","Australia","","YEARS15-29","15-29  years","","BTSX","Both sexes","","12.3","12.29000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","WPR","Western Pacific","","WB_HI","High-income","","AUS","Australia","","YEARS15-29","15-29  years","","FMLE","Female","","5.8","5.76000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","WPR","Western Pacific","","WB_HI","High-income","","AUS","Australia","","YEARS15-29","15-29  years","","MLE","Male","","18.6","18.55000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EUR","Europe","","WB_HI","High-income","","AUT","Austria","","YEARS15-29","15-29  years","","BTSX","Both sexes","","7.9","7.90000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EUR","Europe","","WB_HI","High-income","","AUT","Austria","","YEARS15-29","15-29  years","","FMLE","Female","","2.6","2.60000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EUR","Europe","","WB_HI","High-income","","AUT","Austria","","YEARS15-29","15-29  years","","MLE","Male","","12.9","12.89000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EUR","Europe","","WB_UMI","Upper-middle-income","","AZE","Azerbaijan","","YEARS15-29","15-29  years","","BTSX","Both sexes","","4.4","4.37000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EUR","Europe","","WB_UMI","Upper-middle-income","","AZE","Azerbaijan","","YEARS15-29","15-29  years","","FMLE","Female","","1.4","1.36000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EUR","Europe","","WB_UMI","Upper-middle-income","","AZE","Azerbaijan","","YEARS15-29","15-29  years","","MLE","Male","","7.2","7.16000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","AFR","Africa","","WB_LI","Low-income","","BDI","Burundi","","YEARS15-29","15-29  years","","BTSX","Both sexes","","4.8","4.82000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","AFR","Africa","","WB_LI","Low-income","","BDI","Burundi","","YEARS15-29","15-29  years","","FMLE","Female","","2.5","2.53000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","AFR","Africa","","WB_LI","Low-income","","BDI","Burundi","","YEARS15-29","15-29  years","","MLE","Male","","7.1","7.13000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EUR","Europe","","WB_HI","High-income","","BEL","Belgium","","YEARS15-29","15-29  years","","BTSX","Both sexes","","8.8","8.84000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EUR","Europe","","WB_HI","High-income","","BEL","Belgium","","YEARS15-29","15-29  years","","FMLE","Female","","4.4","4.36000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","EUR","Europe","","WB_HI","High-income","","BEL","Belgium","","YEARS15-29","15-29  years","","MLE","Male","","13.1","13.12000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","AFR","Africa","","WB_LMI","Lower-middle-income","","BEN","Benin","","YEARS15-29","15-29  years","","BTSX","Both sexes","","6.2","6.17000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","AFR","Africa","","WB_LMI","Lower-middle-income","","BEN","Benin","","YEARS15-29","15-29  years","","FMLE","Female","","3","3.02000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","AFR","Africa","","WB_LMI","Lower-middle-income","","BEN","Benin","","YEARS15-29","15-29  years","","MLE","Male","","9.3","9.26000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","AFR","Africa","","WB_LI","Low-income","","BFA","Burkina Faso","","YEARS15-29","15-29  years","","BTSX","Both sexes","","5.7","5.68000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","AFR","Africa","","WB_LI","Low-income","","BFA","Burkina Faso","","YEARS15-29","15-29  years","","FMLE","Female","","3.1","3.13000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","AFR","Africa","","WB_LI","Low-income","","BFA","Burkina Faso","","YEARS15-29","15-29  years","","MLE","Male","","8.1","8.15000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","SEAR","South-East Asia","","WB_LMI","Lower-middle-income","","BGD","Bangladesh","","YEARS15-29","15-29  years","","BTSX","Both sexes","","4.4","4.44000","","","","",""
"SDGSUICIDE","Crude suicide rates (per 100 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664","PUBLISHED","Published","","2019","2019","","SEAR","South-East Asia","","WB_LMI","Lower-middle-income","","BGD","Bangladesh","","YEARS15-29","15-29  years","","FMLE","Female","","2.6","2.63000","","","","",""
