Countries, territories and areas;Year;Mental hospitals (per 100 000 population);Mental health units in general hospitals (per 100 000 population);Mental health outpatient facilities (per 100 000 population);Mental health day treatment facilities (per 100 000 population);Community residential facilities (per 100 000 population)
Afghanistan;2016;3;12;6;;
Albania;2016;68;68;410;;445
Algeria;2016;48;68;48;;
Angola;2016;11;;;;14
Antigua and Barbuda;2016;1.001;;;;
Argentina;2016;937;1.071;1.720;;152
Armenia;2016;;69;1.371;34;
Azerbaijan;2016;114;21;156;94;31
Bangladesh;2016;1;35;55;;45
Belarus;2016;200;63;116;285;
Belize;2016;;1.948;2.227;278;278
Bhutan;2016;;127;3.556;;
Bolivia (Plurinational State of);2016;75;9;9;;
Brazil;2016;69;115;1.491;;267
Brunei Darussalam;2016;;479;2.634;718;479
Bulgaria;2016;167;307;307;5.935;1.783
Burkina Faso;2016;;287;;;
Cote d'Ivoire;2016;9;13;17;22;
Cambodia;2016;;6;1.134;;
Chad;2016;;7;7;;
Chile;2016;23;175;839;315;1.171
Colombia;2016;1.988;222;292;;
Congo;2016;;40;20;;
Cook Islands;2016;;;5.731;5.731;5.731
Costa Rica;2016;42;42;1.706;125;42
Croatia;2016;165;519;3.093;803;
Cuba;2016;166;148;2.932;445;1.213
Dominican Republic;2016;;76;1.748;19;
Ecuador;2016;25;173;242;3.010;
Egypt;2016;19;;31;11;
El Salvador;2016;32;253;729;;
Eritrea;2016;21;206;227;;
Estonia;2016;152;684;14.820;17.176;3.496
Fiji;2016;112;336;3.363;112;
Gabon;2016;52;;52;;
Georgia;2016;228;76;683;101;
Ghana;2016;11;1.095;2.378;18;15
Greece;2016;27;330;1.346;1.319;6.178
Grenada;2016;936;936;10.297;;
Guatemala;2016;6;6;1.434;;6
Guinea;2016;;8;;;
Guinea-Bissau;2016;56;;56;;
Guyana;2016;130;130;260;;
Haiti;2016;19;9;131;;
Hungary;2016;;2.647;8.269;20;286
Iceland;2016;303;4.542;3.028;;
India;2016;10;30;176;23;17
Indonesia;2016;19;104;;;
Ireland;2016;617;617;3.830;85;4.468
Israel;2016;161;136;;;1.637
Japan;2016;8.314;450;7.223;3.759;366
Jordan;2016;55;33;513;;
Kenya;2016;2;32;68;;
Kyrgyzstan;2016;85;136;1.159;51;
Liberia;2016;22;67;622;;
Libya;2016;32;;;;
Lithuania;2016;136;682;3.922;;
Madagascar;2016;21;45;;4;8
Malaysia;2016;13;153;316;3.118;
Mali;2016;;6;;;
Mexico;2016;29;6;126;79;12
Monaco;2016;;2.610;5.221;5.221;
Mongolia;2016;34;470;67;;
Montenegro;2016;318;318;;;
Morocco;2016;32;80;371;101;69
Mozambique;2016;7;39;768;21;
Myanmar;2016;4;42;73;;
Namibia;2016;;82;82;;41
Nauru;2016;;;8.881;;
Nepal;2016;21;63;112;;
New Zealand;2016;;607;;;
Niger;2016;;33;1.685;19;
Norway;2016;577;481;1.308;885;
Pakistan;2016;6;422;2.300;;305
Panama;2016;25;277;2.696;25;
Paraguay;2016;30;30;1.416;15;90
Peru;2016;10;57;166;16;22
Philippines;2016;1;83;211;2;58
Poland;2016;125;261;3.207;716;
Portugal;2016;29;288;701;518;269
Qatar;2016;38;38;344;115;76
Republic of Korea;2016;358;389;1.789;134;427
Romania;2016;171;392;911;277;
Rwanda;2016;17;396;404;;
Saint Lucia;2016;564;;19.751;;
Samoa;2016;516;516;12.387;516;4.645
Sao Tome and Principe;2016;;511;511;;
Saudi Arabia;2016;79;13;507;;13
Senegal;2016;7;27;40;;27
Seychelles;2016;1.067;;2.134;1.067;1.067
Singapore;2016;18;72;217;163;54
Slovenia;2016;241;48;5.832;2.121;3.518
South Africa;2016;116;72;110;;
South Sudan;2016;;8;8;;
Syrian Arab Republic;2016;16;16;2.263;;
Turkiye;2016;11;455;190;;174
Tajikistan;2016;35;129;164;;
Thailand;2016;28;151;1.302;7;
Timor-Leste;2016;;81;6.527;;161
Togo;2016;13;108;40;;40
Tonga;2016;0;940;940;;
Uganda;2016;2;32;942;;
Ukraine;2016;139;52;49;1.576;
United Arab Emirates;2016;11;55;524;;33
United States of America;2016;189;349;373;;
Uruguay;2016;321;699;;612;
Uzbekistan;2016;81;13;84;52;
Vanuatu;2016;;756;2.645;;
Viet Nam;2016;43;17;9;;
Yemen;2016;33;26;63;;
Zambia;2016;62;62;205;;19
Zimbabwe;2016;25;25;57;6;51
