country,year,sex,age,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($)
Armenia,2016,1,5,12,61956,19.37,"10,546,135,160",3788
Armenia,2016,1,4,16,237813,6.73,"10,546,135,160",3788
Armenia,2016,1,3,16,350633,4.56,"10,546,135,160",3788
Armenia,2016,1,1,5,202220,2.47,"10,546,135,160",3788
Armenia,2016,0,5,2,102414,1.95,"10,546,135,160",3788
Armenia,2016,0,4,6,308349,1.95,"10,546,135,160",3788
Armenia,2016,1,2,4,255665,1.56,"10,546,135,160",3788
Armenia,2016,0,3,3,408109,0.74,"10,546,135,160",3788
Armenia,2016,0,2,2,277452,0.72,"10,546,135,160",3788
Armenia,2016,0,1,1,195422,0.51,"10,546,135,160",3788
Austria,2016,1,5,212,307692,68.9,"390,799,991,147",46976
Austria,2016,1,4,290,928992,31.22,"390,799,991,147",46976
Austria,2016,1,3,260,1281202,20.29,"390,799,991,147",46976
Austria,2016,1,2,86,605922,14.19,"390,799,991,147",46976
Austria,2016,0,5,61,478267,12.75,"390,799,991,147",46976
Austria,2016,1,1,58,525977,11.03,"390,799,991,147",46976
Austria,2016,0,4,99,1009403,9.81,"390,799,991,147",46976
Austria,2016,0,3,95,1273241,7.46,"390,799,991,147",46976
Austria,2016,0,1,22,488020,4.51,"390,799,991,147",46976
Austria,2016,0,2,18,585913,3.07,"390,799,991,147",46976
Croatia,2016,1,5,104,134519,77.31,"51,338,524,831",12905
Croatia,2016,1,4,187,480263,38.94,"51,338,524,831",12905
Croatia,2016,1,3,146,571003,25.57,"51,338,524,831",12905
Croatia,2016,1,2,48,274466,17.49,"51,338,524,831",12905
Croatia,2016,0,5,40,246002,16.26,"51,338,524,831",12905
Croatia,2016,0,4,69,551758,12.51,"51,338,524,831",12905
Croatia,2016,1,1,30,242287,12.38,"51,338,524,831",12905
Croatia,2016,0,3,47,570380,8.24,"51,338,524,831",12905
Croatia,2016,0,1,6,231038,2.6,"51,338,524,831",12905
Croatia,2016,0,2,6,265327,2.26,"51,338,524,831",12905
Cyprus,2016,1,3,15,106925,14.03,"20,153,871,681",25098
Cyprus,2016,1,1,5,58051,8.61,"20,153,871,681",25098
Cyprus,2016,1,5,2,24004,8.33,"20,153,871,681",25098
Cyprus,2016,1,4,7,85486,8.19,"20,153,871,681",25098
Cyprus,2016,1,2,2,68167,2.93,"20,153,871,681",25098
Cyprus,2016,0,3,3,117819,2.55,"20,153,871,681",25098
Cyprus,2016,0,2,1,71307,1.4,"20,153,871,681",25098
Cyprus,2016,0,4,1,90294,1.11,"20,153,871,681",25098
Cyprus,2016,0,1,0,58057,0.0,"20,153,871,681",25098
Cyprus,2016,0,5,0,31234,0.0,"20,153,871,681",25098
Czech Republic,2016,1,5,140,273637,51.16,"195,305,084,919",19505
Czech Republic,2016,1,4,319,1205832,26.45,"195,305,084,919",19505
Czech Republic,2016,1,3,386,1617906,23.86,"195,305,084,919",19505
Czech Republic,2016,1,2,137,729199,18.79,"195,305,084,919",19505
Czech Republic,2016,1,1,78,527890,14.78,"195,305,084,919",19505
Czech Republic,2016,0,4,86,1358948,6.33,"195,305,084,919",19505
Czech Republic,2016,0,3,91,1541109,5.9,"195,305,084,919",19505
Czech Republic,2016,0,5,25,480884,5.2,"195,305,084,919",19505
Czech Republic,2016,0,2,34,691963,4.91,"195,305,084,919",19505
Czech Republic,2016,0,1,22,502574,4.38,"195,305,084,919",19505
Grenada,2016,0,1,0,9543,0.0,"1,056,188,593",10838
Grenada,2016,0,2,0,10271,0.0,"1,056,188,593",10838
Grenada,2016,0,3,0,11222,0.0,"1,056,188,593",10838
Grenada,2016,0,4,0,6392,0.0,"1,056,188,593",10838
Grenada,2016,0,5,0,2227,0.0,"1,056,188,593",10838
Grenada,2016,1,1,0,9860,0.0,"1,056,188,593",10838
Grenada,2016,1,2,0,10718,0.0,"1,056,188,593",10838
Grenada,2016,1,3,0,11746,0.0,"1,056,188,593",10838
Grenada,2016,1,4,0,5721,0.0,"1,056,188,593",10838
Grenada,2016,1,5,0,1312,0.0,"1,056,188,593",10838
Hungary,2016,1,5,214,246437,86.84,"125,816,640,421",13448
Hungary,2016,1,4,495,1064355,46.51,"125,816,640,421",13448
Hungary,2016,1,3,450,1439105,31.27,"125,816,640,421",13448
Hungary,2016,0,5,120,521024,23.03,"125,816,640,421",13448
Hungary,2016,1,2,98,633114,15.48,"125,816,640,421",13448
Hungary,2016,0,4,161,1346205,11.96,"125,816,640,421",13448
Hungary,2016,1,1,58,568065,10.21,"125,816,640,421",13448
Hungary,2016,0,3,121,1432415,8.45,"125,816,640,421",13448
Hungary,2016,0,2,30,602785,4.98,"125,816,640,421",13448
Hungary,2016,0,1,14,536865,2.61,"125,816,640,421",13448
Iceland,2016,1,2,8,25029,31.96,"20,304,098,101",64708
Iceland,2016,1,4,10,33247,30.08,"20,304,098,101",64708
Iceland,2016,1,3,11,44024,24.99,"20,304,098,101",64708
Iceland,2016,1,1,6,24099,24.9,"20,304,098,101",64708
Iceland,2016,1,5,1,8723,11.46,"20,304,098,101",64708
Iceland,2016,0,2,2,23233,8.61,"20,304,098,101",64708
Iceland,2016,0,4,2,32963,6.07,"20,304,098,101",64708
Iceland,2016,0,1,0,22971,0.0,"20,304,098,101",64708
Iceland,2016,0,3,0,43216,0.0,"20,304,098,101",64708
Iceland,2016,0,5,0,11268,0.0,"20,304,098,101",64708
Lithuania,2016,1,5,78,80426,96.98,"42,773,029,835",15742
Lithuania,2016,1,4,212,277763,76.32,"42,773,029,835",15742
Lithuania,2016,1,3,266,376689,70.62,"42,773,029,835",15742
Lithuania,2016,1,2,96,191346,50.17,"42,773,029,835",15742
Lithuania,2016,1,1,41,177888,23.05,"42,773,029,835",15742
Lithuania,2016,0,5,29,193001,15.03,"42,773,029,835",15742
Lithuania,2016,0,4,45,390385,11.53,"42,773,029,835",15742
Lithuania,2016,0,3,41,406249,10.09,"42,773,029,835",15742
Lithuania,2016,0,2,8,182632,4.38,"42,773,029,835",15742
Lithuania,2016,0,1,6,168917,3.55,"42,773,029,835",15742
Mauritius,2016,1,2,17,87701,19.38,"12,232,463,656",10570
Mauritius,2016,1,5,3,15754,19.04,"12,232,463,656",10570
Mauritius,2016,1,1,18,96372,18.68,"12,232,463,656",10570
Mauritius,2016,1,3,33,180530,18.28,"12,232,463,656",10570
Mauritius,2016,1,4,12,107902,11.12,"12,232,463,656",10570
Mauritius,2016,0,1,4,94001,4.26,"12,232,463,656",10570
Mauritius,2016,0,2,3,85747,3.5,"12,232,463,656",10570
Mauritius,2016,0,3,6,177524,3.38,"12,232,463,656",10570
Mauritius,2016,0,4,2,120603,1.66,"12,232,463,656",10570
Mauritius,2016,0,5,0,26298,0.0,"12,232,463,656",10570
Mongolia,2016,1,2,127,290660,43.69,"11,183,458,131",4145
Mongolia,2016,1,3,127,375631,33.81,"11,183,458,131",4145
Mongolia,2016,1,1,85,252851,33.62,"11,183,458,131",4145
Mongolia,2016,1,4,29,113527,25.54,"11,183,458,131",4145
Mongolia,2016,1,5,3,15349,19.55,"11,183,458,131",4145
Mongolia,2016,0,5,3,26305,11.4,"11,183,458,131",4145
Mongolia,2016,0,1,18,246805,7.29,"11,183,458,131",4145
Mongolia,2016,0,2,15,292237,5.13,"11,183,458,131",4145
Mongolia,2016,0,3,15,406028,3.69,"11,183,458,131",4145
Mongolia,2016,0,4,1,148196,0.67,"11,183,458,131",4145
Netherlands,2016,1,5,123,541327,22.72,"777,227,541,581",48108
Netherlands,2016,1,4,436,2004642,21.75,"777,227,541,581",48108
Netherlands,2016,1,3,478,2341693,20.41,"777,227,541,581",48108
Netherlands,2016,1,2,159,1061905,14.97,"777,227,541,581",48108
Netherlands,2016,0,5,87,781301,11.14,"777,227,541,581",48108
Netherlands,2016,0,4,209,2037375,10.26,"777,227,541,581",48108
Netherlands,2016,0,3,217,2334777,9.29,"777,227,541,581",48108
Netherlands,2016,1,1,77,1067719,7.21,"777,227,541,581",48108
Netherlands,2016,0,2,65,1043372,6.23,"777,227,541,581",48108
Netherlands,2016,0,1,35,1025443,3.41,"777,227,541,581",48108
Qatar,2016,1,1,13,293525,4.43,"152,451,923,077",62484
Qatar,2016,1,3,27,675747,4.0,"152,451,923,077",62484
Qatar,2016,1,2,21,676108,3.11,"152,451,923,077",62484
Qatar,2016,1,4,2,99266,2.01,"152,451,923,077",62484
Qatar,2016,0,3,3,179374,1.67,"152,451,923,077",62484
Qatar,2016,0,2,2,164901,1.21,"152,451,923,077",62484
Qatar,2016,0,1,0,88675,0.0,"152,451,923,077",62484
Qatar,2016,0,4,0,26182,0.0,"152,451,923,077",62484
Qatar,2016,0,5,0,3250,0.0,"152,451,923,077",62484
Qatar,2016,1,5,0,6093,0.0,"152,451,923,077",62484
Romania,2016,1,4,615,2068747,29.73,"187,805,922,349",10020
Romania,2016,1,5,171,579838,29.49,"187,805,922,349",10020
Romania,2016,1,3,632,2945568,21.46,"187,805,922,349",10020
Romania,2016,1,2,134,1359178,9.86,"187,805,922,349",10020
Romania,2016,1,1,91,1101638,8.26,"187,805,922,349",10020
Romania,2016,0,5,61,997868,6.11,"187,805,922,349",10020
Romania,2016,0,4,112,2462909,4.55,"187,805,922,349",10020
Romania,2016,0,3,96,2823207,3.4,"187,805,922,349",10020
Romania,2016,0,2,27,1264645,2.13,"187,805,922,349",10020
Romania,2016,0,1,14,1041307,1.34,"187,805,922,349",10020
Sweden,2016,1,5,100,359481,27.82,"514,459,972,806",55594
Sweden,2016,1,4,232,1106411,20.97,"514,459,972,806",55594
Sweden,2016,1,3,266,1299990,20.46,"514,459,972,806",55594
Sweden,2016,1,2,114,670158,17.01,"514,459,972,806",55594
Sweden,2016,1,1,70,605396,11.56,"514,459,972,806",55594
Sweden,2016,0,3,119,1257582,9.46,"514,459,972,806",55594
Sweden,2016,0,4,104,1120938,9.28,"514,459,972,806",55594
Sweden,2016,0,5,45,493341,9.12,"514,459,972,806",55594
Sweden,2016,0,2,44,641572,6.86,"514,459,972,806",55594
Sweden,2016,0,1,36,570983,6.3,"514,459,972,806",55594
Thailand,2016,1,4,734,5203957,14.1,"411,755,164,833",6713
Thailand,2016,1,3,1421,10084647,14.09,"411,755,164,833",6713
Thailand,2016,1,5,152,1124052,13.52,"411,755,164,833",6713
Thailand,2016,1,2,646,4796355,13.47,"411,755,164,833",6713
Thailand,2016,1,1,322,4736305,6.8,"411,755,164,833",6713
Thailand,2016,0,5,69,1589015,4.34,"411,755,164,833",6713
Thailand,2016,0,4,222,6049756,3.67,"411,755,164,833",6713
Thailand,2016,0,3,375,10629684,3.53,"411,755,164,833",6713
Thailand,2016,0,2,116,4702656,2.47,"411,755,164,833",6713
Thailand,2016,0,1,60,4525574,1.33,"411,755,164,833",6713
