"Countries, territories and areas",Year,Mental hospitals (per 100 000 population),Mental health units in general hospitals (per 100 000 population),Mental health outpatient facilities (per 100 000 population),Psychiatrists working in mental health sector (per 100 000 population),Nurses working in mental health sector (per 100 000 population),Psychologists working in mental health sector (per 100 000 population),sex,age,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($)
Armenia,2016,32.0,69.0,1.371,3.84,11.245,788.0,1,5,12,61956,19.37,"10,546,135,160",3788
Armenia,2016,32.0,69.0,1.371,3.84,11.245,788.0,1,4,16,237813,6.73,"10,546,135,160",3788
Armenia,2016,32.0,69.0,1.371,3.84,11.245,788.0,1,3,16,350633,4.56,"10,546,135,160",3788
Armenia,2016,32.0,69.0,1.371,3.84,11.245,788.0,1,1,5,202220,2.47,"10,546,135,160",3788
Armenia,2016,32.0,69.0,1.371,3.84,11.245,788.0,0,5,2,102414,1.95,"10,546,135,160",3788
Armenia,2016,32.0,69.0,1.371,3.84,11.245,788.0,0,4,6,308349,1.95,"10,546,135,160",3788
Armenia,2016,32.0,69.0,1.371,3.84,11.245,788.0,1,2,4,255665,1.56,"10,546,135,160",3788
Armenia,2016,32.0,69.0,1.371,3.84,11.245,788.0,0,3,3,408109,0.74,"10,546,135,160",3788
Armenia,2016,32.0,69.0,1.371,3.84,11.245,788.0,0,2,2,277452,0.72,"10,546,135,160",3788
Armenia,2016,32.0,69.0,1.371,3.84,11.245,788.0,0,1,1,195422,0.51,"10,546,135,160",3788
Croatia,2016,165.0,519.0,3.093,11.095,41.856,4.367,1,5,104,134519,77.31,"51,338,524,831",12905
Croatia,2016,165.0,519.0,3.093,11.095,41.856,4.367,1,4,187,480263,38.94,"51,338,524,831",12905
Croatia,2016,165.0,519.0,3.093,11.095,41.856,4.367,1,3,146,571003,25.57,"51,338,524,831",12905
Croatia,2016,165.0,519.0,3.093,11.095,41.856,4.367,1,2,48,274466,17.49,"51,338,524,831",12905
Croatia,2016,165.0,519.0,3.093,11.095,41.856,4.367,0,5,40,246002,16.26,"51,338,524,831",12905
Croatia,2016,165.0,519.0,3.093,11.095,41.856,4.367,0,4,69,551758,12.51,"51,338,524,831",12905
Croatia,2016,165.0,519.0,3.093,11.095,41.856,4.367,1,1,30,242287,12.38,"51,338,524,831",12905
Croatia,2016,165.0,519.0,3.093,11.095,41.856,4.367,0,3,47,570380,8.24,"51,338,524,831",12905
Croatia,2016,165.0,519.0,3.093,11.095,41.856,4.367,0,1,6,231038,2.6,"51,338,524,831",12905
Croatia,2016,165.0,519.0,3.093,11.095,41.856,4.367,0,2,6,265327,2.26,"51,338,524,831",12905
Grenada,2016,936.0,936.0,10.297,1.872,936.0,20.0,0,1,0,9543,0.0,"1,056,188,593",10838
Grenada,2016,936.0,936.0,10.297,1.872,936.0,20.0,0,2,0,10271,0.0,"1,056,188,593",10838
Grenada,2016,936.0,936.0,10.297,1.872,936.0,20.0,0,3,0,11222,0.0,"1,056,188,593",10838
Grenada,2016,936.0,936.0,10.297,1.872,936.0,20.0,0,4,0,6392,0.0,"1,056,188,593",10838
Grenada,2016,936.0,936.0,10.297,1.872,936.0,20.0,0,5,0,2227,0.0,"1,056,188,593",10838
Grenada,2016,936.0,936.0,10.297,1.872,936.0,20.0,1,1,0,9860,0.0,"1,056,188,593",10838
Grenada,2016,936.0,936.0,10.297,1.872,936.0,20.0,1,2,0,10718,0.0,"1,056,188,593",10838
Grenada,2016,936.0,936.0,10.297,1.872,936.0,20.0,1,3,0,11746,0.0,"1,056,188,593",10838
Grenada,2016,936.0,936.0,10.297,1.872,936.0,20.0,1,4,0,5721,0.0,"1,056,188,593",10838
Grenada,2016,936.0,936.0,10.297,1.872,936.0,20.0,1,5,0,1312,0.0,"1,056,188,593",10838
Hungary,2016,32.0,2.647,8.269,11.079,33.739,2.484,1,5,214,246437,86.84,"125,816,640,421",13448
Hungary,2016,32.0,2.647,8.269,11.079,33.739,2.484,1,4,495,1064355,46.51,"125,816,640,421",13448
Hungary,2016,32.0,2.647,8.269,11.079,33.739,2.484,1,3,450,1439105,31.27,"125,816,640,421",13448
Hungary,2016,32.0,2.647,8.269,11.079,33.739,2.484,0,5,120,521024,23.03,"125,816,640,421",13448
Hungary,2016,32.0,2.647,8.269,11.079,33.739,2.484,1,2,98,633114,15.48,"125,816,640,421",13448
Hungary,2016,32.0,2.647,8.269,11.079,33.739,2.484,0,4,161,1346205,11.96,"125,816,640,421",13448
Hungary,2016,32.0,2.647,8.269,11.079,33.739,2.484,1,1,58,568065,10.21,"125,816,640,421",13448
Hungary,2016,32.0,2.647,8.269,11.079,33.739,2.484,0,3,121,1432415,8.45,"125,816,640,421",13448
Hungary,2016,32.0,2.647,8.269,11.079,33.739,2.484,0,2,30,602785,4.98,"125,816,640,421",13448
Hungary,2016,32.0,2.647,8.269,11.079,33.739,2.484,0,1,14,536865,2.61,"125,816,640,421",13448
Lithuania,2016,136.0,682.0,3.922,18.452,49.763,15.86,1,5,78,80426,96.98,"42,773,029,835",15742
